"Line Code","Direction","Stop Code","Stop ID","Chinese Name","English Name","Sequence"
"610P","1","SHL","100","兆康","Siu Hong",1.00
"610P","1","TMH","90","屯門醫院","Tuen Mun Hospital",2.00
"610P","1","AFF","80","澤豐","Affluence",3.00
"610P","1","NGW","230","銀圍","Ngan Wai",4.00
"610P","1","THS","220","大興(南)","Tai Hing (South)",5.00
"610P","1","THN","212","大興(北)","Tai Hing (North)",6.00
"610P","1","SAW","160","新圍","San Wai",7.00
"610P","1","LEK","150","良景","Leung King",8.00
"610P","1","TNK","140","田景","Tin King",9.00
"610P","1","KIS","130","建生","Kin Sang",10.00
"610P","1","CHC","120","青松","Ching Chung",11.00
"610P","1","KEL","110","麒麟","Kei Lun",12.00
"610P","1","SHL","100","兆康","Siu Hong",13.00
